bank_ticker,bank_name,cik,period,period_end,deposits_to_assets,loans_to_deposits,interest_expense_to_deposits_annualized,deposit_interest_expense_to_deposits_annualized,net_income_to_assets_annualized,noninterest_expense_to_assets_annualized,noninterest_income_to_assets_annualized,equity_to_assets,roa_annualized,roe_annualized,net_interest_margin_proxy,loan_yield_annualized,efficiency_ratio,tier_1_capital_ratio,data_type,period_sort
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,0.5715006959989877,0.7068644435977647,0.0138689202262213,0.0028800686574161384,0.011841146412877946,0.023081857335480238,0.018712990962922237,0.11529408684496459,0.011841146412877946,0.10270384836648802,0.020645206334245332,0.07072568467034071,0.5864561621357932,,real_public_sec_edgar_ratio,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,0.5753506128911299,0.68373476292852,0.014577352638020761,0.003656228332945664,0.012257395034190129,0.02225725393818199,0.018236445269927352,0.11208923424631002,0.012257395034190129,0.10935390108255327,0.020627381262364606,0.07375549824088898,0.5726984685794755,,real_public_sec_edgar_ratio,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,0.5867368413005355,0.6784728797315335,0.015438559917074202,0.004522698910440717,0.01236437181966331,0.022211019122049754,0.017282598862521963,0.11268813386411677,0.01236437181966331,0.10972203900876283,0.02124266353848173,0.07611699210706566,0.5765312872073025,,real_public_sec_edgar_ratio,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,0.5802447790728784,0.6786144357760286,0.016805175239988486,0.005205399405656485,0.012302054044230857,0.022251725164944447,0.01788517746356583,0.11232291924326634,0.012302054044230857,0.10952398786562301,0.020823132101950054,0.07764642033763587,0.5748565466875326,,real_public_sec_edgar_ratio,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q2,2019-06-30,0.573937806879442,0.6939697896796798,0.017555176268077868,0.005715977028462802,0.012267664819616244,0.02215124888767941,0.018189467638775037,0.11328056523415914,0.012267664819616244,0.10829452337440311,0.020349832129328033,0.07638904171028627,0.5747704037428522,,real_public_sec_edgar_ratio,20192
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q3,2019-09-30,0.5740505207453231,0.6917375771447608,0.016452762565011242,0.0053990563138804565,0.009523848775723006,0.025007315575375156,0.017507923489385204,0.11061438468798555,0.009523848775723006,0.08609955027628015,0.02009124892327095,0.07438060275439891,0.665102819309861,,real_public_sec_edgar_ratio,20193
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q4,2019-12-31,0.5894644339809841,0.6788458067065652,0.013342598252164235,0.004315575030160935,0.011493464263074453,0.021756072830832526,0.016776776760327006,0.10879268914443616,0.011493464263074453,0.10564555719194894,0.01995005092275148,0.06951057997351157,0.5923754977851358,,real_public_sec_edgar_ratio,20194
BAC,BANK OF AMERICA CORP /DE/,0000070858,2020Q1,2020-03-31,0.6043331295129609,0.653699651050795,0.010024473813020069,0.0029911736377559884,0.006122244894376008,0.02057288028721115,0.016239979785904638,0.10111551576859747,0.006122244894376008,0.06054703719641549,0.018519409119396753,0.06221335067278958,0.591865419247156,,real_public_sec_edgar_ratio,20201
BAC,BANK OF AMERICA CORP /DE/,0000070858,2020Q2,2020-06-30,0.6268641800234016,0.5699507641391638,0.00393793791231106,0.0008681151544279109,0.005154488767503815,0.019564589406234408,0.016745887934732178,0.09688812147844686,0.005154488767503815,0.053200420122196834,0.01582674615054667,0.05120692559376452,0.6006449879064768,,real_public_sec_edgar_ratio,20202
BAC,BANK OF AMERICA CORP /DE/,0000070858,2020Q3,2020-09-30,0.6218403682080241,,0.0031875411068307807,0.0005332143192708823,0.007129575395150253,0.021035241808145623,0.014909153054353336,0.0981759037587659,0.007129575395150253,0.07262042030872233,0.014795220073238457,,0.7081530291109362,,real_public_sec_edgar_ratio,20203
BAC,BANK OF AMERICA CORP /DE/,0000070858,2020Q4,2020-12-31,0.6367792619378378,,0.002691202352574242,0.00035422282620803353,0.007759891645242438,0.019757223207183077,0.01396780496143639,0.09679436322605792,0.007759891645242438,0.08016883821137019,0.014545186295917865,,0.6929200457734216,,real_public_sec_edgar_ratio,20204
BAC,BANK OF AMERICA CORP /DE/,0000070858,2021Q1,2021-03-31,0.6346609687837543,,0.0025422586843705203,0.00028223739985081735,0.010841780045198776,0.02089567918028062,0.017002065998830973,0.0922561407572815,0.010841780045198776,0.11751824817518249,0.013733370325576635,,0.6798562727312563,,real_public_sec_edgar_ratio,20211
BAC,BANK OF AMERICA CORP /DE/,0000070858,2021Q2,2021-06-30,0.6301019111559678,,0.0024178400558994566,0.0002681832990945671,0.012177323695152372,0.019862080983691178,0.014829561694237488,0.09146161548885869,0.012177323695152372,0.1331413580447389,0.013509383496584369,,0.700875803596385,,real_public_sec_edgar_ratio,20212
BAC,BANK OF AMERICA CORP /DE/,0000070858,2021Q3,2021-09-30,0.6367974030334674,,0.0025284964810739392,0.00027076492108118674,0.009970681710196841,0.018720146131223817,0.015131685986401966,0.08830619625169263,0.009970681710196841,0.1129103294380175,0.01438236157754827,,0.6342791882631995,,real_public_sec_edgar_ratio,20213
BAC,BANK OF AMERICA CORP /DE/,0000070858,2021Q4,2021-12-31,0.6513485586820613,0.4682791412320787,0.002216575294292028,0.0002770719117865035,0.008850621313490004,0.0185909742719266,0.01344062697685278,0.08520789589508738,0.008850621313490004,0.10387090563047552,0.014399770310412226,0.051943806847156986,0.6677697189483227,,real_public_sec_edgar_ratio,20214
BAC,BANK OF AMERICA CORP /DE/,0000070858,2022Q1,2022-03-31,0.6399834106545472,,0.0025516198781225133,0.00031653983359462346,0.008729479100111388,0.01892272397546432,0.014398020148705015,0.08233435436657698,0.008729479100111388,0.10602474710914908,0.014294259536789158,,0.6595057688996039,,real_public_sec_edgar_ratio,20221
BAC,BANK OF AMERICA CORP /DE/,0000070858,2022Q2,2022-06-30,0.6377250204556747,,0.005101925114987333,0.0006450478217289398,0.008030579707070882,0.019633591142323287,0.013168762369014587,0.0864884564433929,0.008030579707070882,0.09285146292704316,0.015996883924250048,,0.6731752468265162,,real_public_sec_edgar_ratio,20222
BAC,BANK OF AMERICA CORP /DE/,0000070858,2022Q3,2022-09-30,0.6306952953722365,,0.01208608237874575,0.0025488920317197745,0.009218494392852739,0.01991960176416626,0.01397613305507764,0.08770846804360496,0.009218494392852739,0.10510381264748223,0.01791761865541061,,0.6245612603052813,,real_public_sec_edgar_ratio,20223
BAC,BANK OF AMERICA CORP /DE/,0000070858,2022Q4,2022-12-31,0.6326134939166769,0.5351722830318582,0.02153816346438272,0.0062144460486515075,0.009349227807136127,0.020375076809635,0.012913522592273975,0.08953242390725492,0.009349227807136127,0.10442281577030495,0.019245094424644626,0.09708972813908127,0.6335806293820316,,real_public_sec_edgar_ratio,20224
BAC,BANK OF AMERICA CORP /DE/,0000070858,2023Q1,2023-03-31,0.5979990966166321,0.541190806961048,0.02974661877447783,0.009032653860286998,0.010218311386793638,0.02033144716318528,0.014787189986280216,0.08770769444106206,0.010218311386793638,0.11650416137275336,0.018090204989142808,0.11086264329349681,0.6184020108157514,,real_public_sec_edgar_ratio,20231
BAC,BANK OF AMERICA CORP /DE/,0000070858,2023Q2,2023-06-30,0.6010534714737906,0.5530945142496121,0.038772454212610316,0.012326810706746025,0.009487710993667388,0.020540484464961876,0.014138072578171478,0.09071438954558757,0.009487710993667388,0.10458882037561901,0.018132696037843263,0.1246453248371817,0.6365043457554471,,real_public_sec_edgar_ratio,20232
BAC,BANK OF AMERICA CORP /DE/,0000070858,2023Q3,2023-09-30,0.5976997167857562,0.5496452564760392,0.040846842382021444,0.015578894418500255,0.00989759252035305,0.020092036700506487,0.01368562267489986,0.09104212058647232,0.00989759252035305,0.10871443301842099,0.01824115391568271,0.12983968907055188,0.6293161679977749,,real_public_sec_edgar_ratio,20233
BAC,BANK OF AMERICA CORP /DE/,0000070858,2023Q4,2023-12-31,0.6049483184917949,0.5407918695392049,0.045083055804913855,0.018138845124847505,0.0036903908021977574,0.02230208565568113,0.015346441096664908,0.09125635858171514,0.0036903908021977574,0.040439820956620916,0.017541305428578707,0.13698324666711523,0.6781275098481662,,real_public_sec_edgar_ratio,20234
BAC,BANK OF AMERICA CORP /DE/,0000070858,2024Q1,2024-03-31,0.594567235719437,0.5322091594331558,0.04572935161438811,0.018778358650621423,0.008154430795011184,0.021060521967876503,0.014400377786934645,0.08966697140909212,0.008154430795011184,0.09094129830489998,0.017144586891758608,0.1401042335340844,0.6676349833449531,,real_public_sec_edgar_ratio,20241
BAC,BANK OF AMERICA CORP /DE/,0000070858,2024Q2,2024-06-30,0.5864006585643444,0.5462192703341706,0.04847340291056069,0.020214698734513797,0.00846778203533706,0.020023351778209672,0.014333964805358876,0.09020637226073942,0.00846778203533706,0.09387121799844841,0.0168226112002593,0.1412643608768939,0.6426685581432006,,real_public_sec_edgar_ratio,20242
BAC,BANK OF AMERICA CORP /DE/,0000070858,2024Q3,2024-09-30,0.5806804634850177,0.5504431316153737,0.04874551377158155,0.020980629439604798,0.008297704203570504,0.019828577083909272,0.013690730630543095,0.08919550713490057,0.008297704203570504,0.09302827541549752,0.016805979496993795,0.1411360793713984,0.6501874136910634,,real_public_sec_edgar_ratio,20243
BAC,BANK OF AMERICA CORP /DE/,0000070858,2024Q4,2024-12-31,0.6026638465225053,0.5508080267946498,0.043995650906374924,0.019382670886868108,0.007979642467617964,0.020589341854273406,0.018344837440541332,0.09013678291993467,0.007979642467617964,0.08852814810027113,0.01761138736436003,0.13292874990185619,0.5726224587256106,,real_public_sec_edgar_ratio,20244
BAC,BANK OF AMERICA CORP /DE/,0000070858,2025Q1,2025-03-31,0.5940701198164607,0.5515625534036603,0.03945185980445967,0.017354556073592004,0.008790581417535,0.021223998884456106,0.01648711764777896,0.08777114867877024,0.008790581417535,0.10015342797560121,0.01725032165943723,0.12417336374546757,0.6290933550465536,,real_public_sec_edgar_ratio,20251
BAC,BANK OF AMERICA CORP /DE/,0000070858,2025Q2,2025-06-30,0.5845771549096201,0.5636098991207553,0.04017273700259444,0.017261769535193896,0.008271672601711874,0.019973601786848667,0.01370823988083026,0.08706382939152177,0.008271672601711874,0.09500699268021588,0.017052478508588136,0.12303431487124757,0.6493216944412954,,real_public_sec_edgar_ratio,20252
BAC,BANK OF AMERICA CORP /DE/,0000070858,2025Q3,2025-09-30,0.5882417922059302,0.5756884399622817,0.040221595358723966,0.01784429989291822,0.009952651748853313,0.020374202783075907,0.015107018329378831,0.08935880666894652,0.009952651748853313,0.11137852126568294,0.017901611062732612,0.12272957572476594,0.6172386784391911,,real_public_sec_edgar_ratio,20253
BAC,BANK OF AMERICA CORP /DE/,0000070858,2025Q4,2025-12-31,0.5917010626255592,0.5808095093496948,0.036678523962354534,0.01638258528014409,0.008868207347691998,0.020443539333911336,0.017057581795554055,0.08888226469910644,0.008868207347691998,0.09977476809027744,0.018465661782938785,0.11688217539149354,0.575497541172976,,real_public_sec_edgar_ratio,20254
BAC,BANK OF AMERICA CORP /DE/,0000070858,2026Q1,2026-03-31,0.5828245407996028,0.5849284204502904,0.03457686575258028,0.014332104965345104,0.009820987784974826,0.02120138917094228,0.016620397198547215,0.08599885704021468,0.009820987784974826,0.1141990501150771,0.018013915735604454,0.11195356606792423,0.6121498414376322,,real_public_sec_edgar_ratio,20261
C,CITIGROUP INC,0000831001,2018Q2,2018-06-30,0.5212112528459987,0.6612161768984579,0.02361722833666088,0.009005447814352934,0.009391664845157802,0.022406127799850864,0.014231823520368303,0.10509042876401298,0.009391664845157802,0.0893674614864058,0.024399503434023556,0.1065163097409317,0.579998917104337,,real_public_sec_edgar_ratio,20182
C,CITIGROUP INC,0000831001,2018Q3,2018-09-30,0.5221245971124553,0.6591611817233997,0.02534083583372464,0.010266858739166076,0.00960333270135287,0.021423618235320088,0.013686099633018468,0.10277716455472648,0.00960333270135287,0.0934383891884789,0.02452153451782055,0.10969357338738524,0.5607156452226875,,real_public_sec_edgar_ratio,20183
